18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Eukaryota;Ciliophora;Spirotrichea;Stichotrichida;Amphisiellidae;Amphisiella;Amphisiella annulata	1	4	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	1	0	2	2	1	0	0	0	0	1	0	0	0	0	4	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Warnowiaceae;Proterythropsis;Proterythropsis sp. BSL-2009a	6	3	12	3	3	3	2	11	6	0	7	0	0	3	4	0	10	2	4	4	2	5	3	0	1	10	1	1	5	1	9	2	9	1	6	2	0	0	14	7	4	0	11	2	0	1	4	0	6	5	1	2	0	5	0
Eukaryota;Platyhelminthes;Cestoda;Diphyllobothriidea;Diphyllobothriidae	0	3	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Sphaerodoridae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Sinistrostrombidium;Sinistrostrombidium cupiformum	3	2	1	4	0	0	3	1	3	0	3	0	0	1	3	0	0	0	3	0	1	2	5	0	0	3	3	0	0	1	5	2	3	1	1	2	0	1	3	1	3	0	5	0	0	4	2	1	5	0	0	3	0	2	0
Eukaryota;NA;Chrysophyceae;Hibberdiales;Hibberdiaceae;Hibberdia;Hibberdia magna	5	0	1	1	0	0	0	1	0	0	2	0	0	2	0	0	1	2	3	7	0	6	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	1	0	5	3	0	0	0	0	0	4	0	1	2	0	1	0	2	0
Eukaryota;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona ferreirai	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Nassophorea;Nassulida;Furgasoniidae;Furgasonia;Furgasonia blochmanni	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Monosiga;Monosiga brevicollis	1	0	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	3	0	0	0	0	1	0	3	0	1	0	0	0
Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;Spumella lacusvadosi	8	3	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	3	0	0	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Provorticidae	2	0	1	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Pelagophyceae;Pelagomonadales;NA;Aureococcus;Aureococcus anophagefferens	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Syndiniales;Syndiniaceae	2	0	2	2	0	2	0	0	2	0	0	0	0	1	0	0	1	1	3	3	0	0	1	0	0	1	1	0	0	0	0	0	1	0	4	0	0	1	0	3	2	0	0	0	3	2	1	0	1	0	0	3	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae	2	0	1	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	1	0	0	0	2	1	1	0	0	4	1	0	0	1	1	0	0	0	1	2	0	0	0	0	1	3	0	1	1	0	1	0	1	0
Eukaryota;Echinodermata	53	1	54	2	1	16	26	4	23	0	7	0	0	25	9	0	6	3	74	3	5	2	1	0	4	5	9	5	7	1	4	18	4	22	13	2	0	1	97	3	3	2	54	33	1	1	3	3	2	55	1	67	0	32	0
Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Litostomatea	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	1	3	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Spiophanes;Spiophanes cf. convexus VVP-2020	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Haslea;Haslea sp.	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	2	1	3	0	7	0	0	0	1	0	1	1	1	5	0	0	0
Eukaryota;NA;Phaeophyceae;Sphacelariales;Sphacelariaceae;Battersia;Battersia sp.	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea	10	4	1	4	1	0	0	0	2	0	2	0	0	0	0	0	0	0	3	3	0	1	0	0	0	2	0	1	0	0	3	0	2	0	0	0	0	0	5	4	9	0	2	0	1	2	0	0	0	1	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium pohangense	3	0	5	1	1	0	3	0	2	0	3	0	0	4	0	0	0	0	13	1	1	2	1	0	1	6	0	1	3	0	2	3	0	5	1	5	0	2	3	2	4	0	7	1	1	2	4	2	1	6	4	21	0	1	0
Eukaryota;Streptophyta;Zygnemophyceae;Desmidiales;Closteriaceae;Closterium;Closterium littorale	1	3	0	1	1	0	1	0	0	0	3	0	0	0	0	0	10	0	1	4	0	2	0	0	0	0	2	0	0	0	48	1	2	1	0	9	0	0	0	3	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Ceratomyxidae;Ceratomyxa;Ceratomyxa sargus	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Heterohartmannula;Heterohartmannula fangi	3	1	0	2	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	2	0	1	4	0	0	2	1	1	0	0	0	0	1	0	9	0	0	0	2	4	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas marina	6	6	6	2	0	0	0	0	0	0	1	0	0	5	0	0	1	2	10	2	0	2	3	0	0	0	1	4	0	0	0	1	6	2	2	3	0	1	3	2	7	0	3	3	1	0	9	0	2	0	0	27	0	2	0
Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanosoma sp. LZ-2011	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium fallax	37	0	7	1	1	0	0	13	3	0	1	0	0	0	0	0	0	1	9	23	0	2	3	0	0	18	0	5	0	4	0	0	5	1	8	11	0	0	2	9	3	0	8	0	0	0	5	0	22	2	0	1	0	1	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae	3	6	3	6	1	0	0	3	0	0	10	0	0	6	0	0	3	2	5	18	0	9	2	0	0	9	4	3	2	0	0	1	4	1	0	10	0	12	0	6	9	0	0	0	1	2	2	1	2	0	0	6	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella squamata	2	1	4	1	0	0	1	2	3	0	1	0	0	1	0	0	2	2	2	11	2	1	0	0	0	4	1	1	0	1	1	0	2	0	1	5	0	3	4	2	1	0	3	0	1	0	3	0	0	4	1	9	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus acuspes	0	0	0	1	0	0	3	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	5	3	1	0	0	0	0	1	0	1	4	0	0	2	0	0	3	0	3	0	1	0
Eukaryota;Annelida;Clitellata;Crassiclitellata;Megascolecidae	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	1	2	0	3	0	16	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Rosales;Moraceae;Dorstenia;Dorstenia maris	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax tomentosoides	39	5	11	6	0	3	1	2	4	0	1	0	0	1	1	0	1	0	2	4	2	1	1	0	0	2	5	6	5	4	1	5	1	1	2	0	0	0	4	5	5	0	7	10	1	0	0	4	4	8	0	11	0	3	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita sp.	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Oweniidae;Owenia;Owenia fusiformis	2	0	31	4	0	14	6	0	24	0	1	0	0	0	2	0	0	0	28	0	0	1	0	0	1	0	1	0	9	0	0	9	1	4	2	0	0	1	7	0	0	0	26	15	0	0	0	0	1	24	1	22	0	5	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix sp. BH41_108	3	5	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	5	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis;Nephroselmis pyriformis	5	1	2	4	0	0	0	0	0	0	0	0	0	3	0	0	1	0	5	3	0	1	0	0	0	1	1	0	0	1	1	1	2	0	2	2	0	0	2	1	2	0	0	2	0	0	2	0	3	2	0	6	0	0	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium oculatum	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Profundibacter;Profundibacter amoris	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Canthocamptidae;Attheyella;Attheyella crassa	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	13	0	2	0	0	1	0	0	0	2	0	0	0	0	0	3	0
Eukaryota;Platyhelminthes;Rhabditophora;Rhabdocoela;Polycystididae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus distichus	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;NA;NA;unidentified planctomycete	4	0	13	2	1	1	0	0	5	0	1	0	0	0	0	0	1	1	3	1	2	1	0	0	0	1	2	2	3	1	1	0	0	2	3	2	0	1	4	3	2	0	7	1	3	1	2	2	1	13	1	10	0	3	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvellaceae;Ulvella;Ulvella viridis	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Blastodiniales;NA;Blastodinium;Blastodinium oviforme	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Eukaryota;Chytridiomycota;Chytridiomycetes	3	0	1	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	4	1	0	0	3	0	0	1	0	1	1	0	6	1	0	0	1	1	0	2	0	2	0	2	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Prosphaerosyllis;Prosphaerosyllis xarifae	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva lactuca	7	2	10	2	2	0	1	5	7	0	3	0	0	0	2	0	0	0	18	1	0	1	1	0	0	1	0	0	3	0	0	1	0	0	2	2	0	0	4	1	3	0	7	2	2	5	0	1	0	10	0	10	0	1	0
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA	6	1	13	1	0	2	1	0	5	0	1	0	0	0	0	0	3	1	5	1	4	3	0	0	0	0	0	1	4	1	2	3	1	0	2	2	0	0	12	2	3	0	7	5	1	0	1	2	2	18	0	10	0	5	0
Eukaryota;Ciliophora;Oligohymenophorea;Peniculida;Frontoniidae;Frontonia	397	1	0	3	1	0	0	32	214	0	1	1	0	0	0	0	0	2	296	8	0	0	3	0	0	28	94	11	0	1	0	0	35	0	0	0	0	0	220	5	20	0	3	0	1	0	5	0	3	1	0	2	0	1	0
Eukaryota;Tubulinea;Elardia;Leptomyxida;Flabellulidae;Flabellula;Flabellula pomeranica	0	0	6	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	2	7	1	0	3	0	0	7	0	6	0	2	0
Eukaryota;Chlorophyta;Ulvophyceae;Cladophorales;Cladophoraceae;Cladophora	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0
Eukaryota;Rhodophyta	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Cancrincolidae;Cancrincola;Cancrincola plumipes	16	21	0	4	1	1	0	20	6	0	4	0	0	0	0	0	0	1	37	2	9	1	3	0	0	9	9	3	3	2	1	0	2	0	1	0	0	0	21	22	59	0	0	0	17	1	0	1	0	0	0	0	0	3	0
Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema rivulare	2	5	2	1	2	0	0	0	0	0	2	0	0	2	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	3	0	4	1	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Blastodiniales;NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cercozoa;Imbricatea;NA;Metromonadea;Micrometopion;Micrometopion nutans	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	3	0	3	0	1	0	3	0	0	2	0	3	0	1	0
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida;NA;Neobodo;Neobodo sp. KL	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Thuretia;Thuretia quercifolia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	1	1	1	0	0	0	0	1	0
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Hesperophycus;Hesperophycus californicus	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Oweniidae;Owenia	4	0	2	2	0	0	0	2	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus sp. AC-2010	0	0	2	4	0	0	3	0	0	0	0	0	0	11	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	3	1	0	9	4	1	0	2	0	0	4	0	0	1	0	1	1	2	0	1	1	10	0	9	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoluna;Desulfoluna spongiiphila	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae;Vannella;Vannella sp. ISOKONT	9	4	16	2	0	4	1	0	2	0	0	0	0	1	0	0	1	0	8	1	0	3	0	0	0	1	2	1	1	1	2	2	0	2	3	0	0	1	8	0	1	0	12	4	0	0	0	3	0	8	0	1	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira punctigera	95	36	59	2	4	3	27	1	2	0	1	0	0	2	14	0	0	5	0	4	2	14	1	0	0	35	0	2	1	0	14	19	1	0	22	4	0	0	0	4	24	0	52	0	1	0	1	1	4	26	0	2	0	15	0
Eukaryota;Chlorophyta;Ulvophyceae	7	1	10	4	5	3	2	1	4	0	0	0	0	2	0	0	1	0	20	2	2	1	0	0	0	1	9	1	8	2	1	0	0	2	4	4	0	0	13	2	3	0	11	1	0	0	1	3	1	9	1	20	0	2	0
Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae	1	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Tovelliaceae;Jadwigia;Jadwigia applanata	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Peyssonneliales;Peyssonneliaceae;Ramicrusta;Ramicrusta textilis	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	9	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. mixed culture J6-51	4	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	5	2	0	0	2	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	2	3	1	0	3	0	1	0	1	0	2	4	0	3	0	0	0
Eukaryota;NA;Chrysophyceae;NA;NA;NA;Spumella-like flagellate JBNZ40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Scalibregmatidae;Scalibregma;Scalibregma inflatum	1	1	9	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	9	1	0	0	3	1	0	0	1	1	2	4	1	14	0	1	0
Eukaryota;Streptophyta	6	3	3	1	0	0	1	1	0	0	1	0	0	2	0	0	1	0	1	8	0	0	1	0	0	2	1	0	1	1	2	1	2	0	2	1	0	4	1	2	0	0	2	1	2	0	3	0	1	2	0	4	0	0	0
Eukaryota;Apicomplexa;Conoidasida;NA;NA;NA;Coccidia sp.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae;Chondrus;Chondrus sp. EMBLCH307006	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
