CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site5n-S115
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	8250	533	3707	1522	353	548	646	1312	29	1991	378	417	2540	681	14698	3	1754	12942	1405	5891	3934	8056	113	112	273	701	6	465	192	2988	0	49	635	25	488	314	1252	1910	2563	305	989	0	4327	0	162	11672	1456	17	0	753	2	2753	145	740	1399
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Mopaliidae;Mopalia;Mopalia muscosa	0	0	0	17	0	1	0	0	4	1	0	0	0	2	0	0	4	1	0	2	1	0	0	0	0	3	0	1	0	0	1	0	0	3	0	54	0	0	328	126	2	0	2	0	0	0	0	0	0	0	0	21	0	7	47
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium;Ceramium sp. 3Cal	0	5	0	17	10	0	225	0	0	12	5	0	10	8	0	0	16	0	3	0	51	0	1	1	0	0	0	2	0	0	11	16	0	6	2	2	7	0	0	0	3	0	4	0	0	1	0	17	0	0	0	0	1	15	0
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	0	0	0	2	6	0	0	0	0	0	1	0	0	6	0	0	2	1	0	0	5	0	11	0	0	0	1	1	1	0	5	6	0	0	0	2	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	1	0	0	2	0	0	5	0	0	0	0	0	4	1	13	0	3	2	1	0	3	3	1	1	0	0	0	0	0	0	0	3	0	1	1	1	1	3	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	3	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Centropages;Centropages abdominalis	0	0	0	0	115	0	562	286	0	0	42	0	154	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	52	0	0	1	0	1	0	179	0	0	0	0	0	0	0	0	0	5	47	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	0	0	0	2	3	2	13	1	104	0	161	0	107	4	0	0	2	1	10	0	158	0	18	1	99	0	0	8	0	1	0	222	0	2	1	57	5	16	0	2	0	0	0	0	0	3	0	4	0	0	0	0	2	4	47
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	48	1	96	3	2	0	0	19	9	28	1	4	1	4	196	0	3	53	21	31	16	42	0	0	18	4	0	1	0	15	5	5	14	6	2	7	0	47	184	2	6	0	132	0	2	12	45	6	0	29	0	6	2	8	9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	2	4	1	21	0	0	6	0	0	0	1	0	0	8	0	0	4	2	3	0	2	1	0	0	0	0	0	1	12	0	2	5	0	1	2	1	8	5	1	3	0	0	21	0	0	0	1	4	0	1	3	0	0	8	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae	23	2	8	11	0	3	5	2	2	1	7	1	2	8	0	0	3	21	3	1	6	1	0	2	20	9	0	1	6	0	3	4	1	0	0	1	4	14	5	24	1	0	104	0	0	10	15	4	0	0	0	0	1	6	1
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites;Margarites pupillus	1	17	0	40	803	0	4	0	6	17	10	0	51	28	0	0	4725	3	456	0	23	6	5	3	0	0	0	8	73	2	2	20	0	25	9	3	23	0	95	0	18	0	2	0	0	0	0	16	0	0	8	0	0	616	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	14	9	11	7	9	0	23	6	0	1	10	0	7	7	10	0	4	12	3	2	6	1	3	3	9	0	0	2	24	0	0	21	0	8	1	2	3	90	15	15	2	0	141	0	0	14	11	7	1	3	3	3	1	6	14
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	103	2	1	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	2	0	0	0	7	0	0	0	0	0	38	0	0	6	0	0	0	5	0	0	3	0	64	0	7	0	6	4	0	0	3	10	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	16	5	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	213	57	10	8	4	4	15	12	6	2	2	50	6	15	26	0	11	8779	17	8	28	19	1	1	122	34	0	8	2	3	83	41	8	2548	9	3	4	190	32	31	8	0	548	0	18	14	62	89	0	9	0	4	0	5	24
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	24	2	2	3	8	3	142	0	0	4	19	2	9	7	0	0	6	17	23	1	51	0	2	0	7	4	0	13	9	0	1	78	0	5	19	3	7	39	0	4	1	0	44	0	0	6	3	16	0	1	1	0	2	1	0
Eukaryota;NA;Dinophyceae;Peridiniales;Ostreopsidaceae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta	178	53	27	74	156	28	249	13	8	30	73	3	92	102	33	0	130	107	29	49	46	10	7	10	104	54	1	64	27	17	15	71	3	34	21	11	105	22	39	17	31	0	107	0	1	53	78	73	3	8	1	13	8	156	18
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	17	28	7	24	13	0	26	1	6	19	7	6	95	13	8	0	17	42	11	8	45	3	1	1	15	3	2	1	12	20	3	67	0	19	15	4	11	154	18	6	15	0	5	0	1	22	10	19	1	1	0	67	6	24	22
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium humile	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia longissima	1	0	0	4	0	0	0	0	0	5	1	0	0	10	0	0	6	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia bipinnata	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	0	0	0	0	4	0	8	0	0	0	0	0	2	0	0	0	2	0	0	0	10	0	0	0	0	0	1	1	2	0	5	5	0	1	0	7	0	0	1	0	17	0	0	0	0	0	0	2	0	0	0	0	0	2	0
Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	0	2	0	9	1	0	0	0	2	24	0	0	0	15	0	0	6	1	0	0	7	0	0	1	0	0	0	4	0	0	0	1	0	6	9	1	4	9	0	0	5	0	0	0	0	1	0	6	0	0	0	0	0	23	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus	0	6	0	7	1	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	1	0	0	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	0	1	2	10	0	0	1	0	3	5	0	0	1	1	0	0	6	1	4	0	13	0	0	0	0	1	1	1	2	1	1	6	0	1	1	2	1	2	1	0	4	0	2	0	0	2	0	9	0	1	3	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae	0	4	0	7	7	0	116	0	0	3	3	0	6	1	0	0	4	0	3	0	22	0	0	0	0	0	0	1	0	0	3	8	0	7	2	1	4	0	0	0	1	0	1	0	0	0	0	8	0	0	0	0	0	6	0
Eukaryota;NA;Oomycetes	17	2	6	3	6	1	14	5	2	4	6	1	4	6	10	0	7	21	3	5	6	1	0	0	10	5	0	1	3	8	2	6	2	6	0	1	4	20	7	11	2	0	40	0	1	21	10	7	0	1	2	7	3	8	4
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia inconspicua	33	3	5	4	7	1	4	6	0	0	8	1	1	3	4	0	3	28	8	10	0	0	0	1	40	9	0	2	9	0	1	8	0	1	0	1	3	8	10	45	1	0	142	0	0	29	18	5	0	4	4	1	0	5	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB59	0	0	0	5	1	0	0	0	1	1	1	0	3	6	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1	1	0	0	0	0	0	10	0	0	3	1	1	0	0	0	0	0	5	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales	10	10	5	10	9	1	120	1	4	4	4	0	29	11	57	0	20	10	11	5	22	2	2	0	7	5	0	1	6	103	10	7	0	23	10	1	5	39	4	8	30	0	21	0	0	10	13	19	0	2	2	9	0	23	7
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	2	2	0	0	0	0	0	0	0	5	0	0	1	0	29	0	0	0	0	1	17	0	0	0	1	0	0	0	1	0	0	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	3	1	1	0	2	0	0	0	0	0	0	0	1	2	2	0	0	3	4	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	1	0	3	0	1	0	0	10	0	0	0	1	1	0	0	1	0	0	4	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	0	4	4	0	3	0	1	0	1	0	2	0	10	3	42	0	4	4	4	1	20	1	0	0	7	1	0	0	3	14	3	12	0	25	2	1	3	24	19	0	2	0	10	0	0	5	4	6	0	5	0	0	0	2	1
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	9	2	2	11	0	0	140	1	5	8	5	0	5	12	0	0	10	3	12	1	7	0	0	0	2	0	0	1	0	0	3	5	0	11	10	1	8	6	1	0	16	0	6	0	0	2	1	14	0	2	1	0	0	16	1
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	484	4	1164	561	3	5	41	983	431	624	64	88	2543	1005	14753	2	57	2472	91	1609	314	4463	75	49	605	107	40	43	3	4058	395	233	2106	2	378	50	1	1906	4132	131	28	0	3427	0	95	6562	378	7	20	2772	5	1893	0	799	443
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Scolelepis squamata	2	2	1	0	4	2	49	1	0	1	8	6	18	10	1	0	2	0	0	0	23	0	1	0	1	1	0	1	2	0	7	22	0	10	5	1	1	0	0	3	8	0	1	0	0	0	1	6	0	0	0	0	1	4	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia	20	5	4	1	0	0	1	0	0	2	3	0	0	1	16	0	1	4	8	0	8	0	0	0	12	4	0	0	0	0	0	0	0	1	0	1	0	9	4	5	0	0	18	0	0	6	7	1	0	1	0	0	0	2	0
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia hendryi	0	0	0	1	3	0	0	0	1	0	2	0	3	0	0	0	2	10	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Grammonema;Grammonema striatula	14	6	4	2	11	0	1	2	0	2	7	0	0	8	0	0	7	16	2	1	0	0	1	0	13	8	0	5	16	2	1	1	1	0	1	0	12	25	4	27	2	0	13	0	0	18	17	7	0	0	3	1	0	12	1
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	7	0	2	0	8	2	37	0	1	0	5	0	3	0	0	0	9	6	1	1	3	0	1	0	2	2	1	1	3	0	3	8	0	5	7	0	2	3	2	1	1	0	4	0	0	9	0	6	0	0	0	4	3	6	1
Eukaryota;Phaeophyceae;NA;Fucales	3	1	0	0	2	0	1	1	0	0	2	0	2	0	2	0	0	3	1	0	1	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0
Eukaryota;Cnidaria;Hydrozoa	8	9	6	6	8	2	74	5	5	7	11	4	16	19	35	0	8	18	7	6	80	1	0	1	123	1	0	1	1	8	5	50	0	19	13	0	2	25	15	3	5	0	67	0	0	9	114	17	13	5	1	12	6	12	2
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Leathesia;Leathesia marina	2	0	0	0	0	0	6	2	0	0	1	0	2	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	2	0	0	0	3	1	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	2	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	7	0	0	0	0	3	0	0	2	1	0	0	0	0	2	0	0	1
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	5	5	8	4	0	0	0	0	3	0	1	3	6	1	27	0	1	21	0	4	15	0	0	0	3	0	1	6	1	6	0	20	0	4	1	0	2	0	10	2	3	0	18	0	0	2	18	2	0	2	1	0	0	5	0
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus sanjuanensis	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	8	0	0	0	0	0	0	1	1	0	9	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Soranthera;Soranthera ulvoidea	4	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	1	3	1	0	0	0	2	0	1	2	0	0	2	1	0	1	0	2	2	0	0	3	0	2	0	0	9	0	0	2	1	0	0	1	0	0	0	2	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	0	0	0	1	2	0	91	0	2	0	1	0	9	1	0	0	0	0	0	0	39	0	0	0	1	0	0	0	3	0	2	20	0	3	1	0	1	1	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cellulophaga;Cellulophaga baltica	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;Stylommatophora;Camaenidae;Satsuma;Satsuma eucosmia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	28	15	18	54	16	1	8	3	7	23	14	4	7	66	23	0	32	28	12	14	13	1	2	2	29	13	0	16	2	3	6	34	4	13	13	2	17	16	14	8	12	0	31	0	1	13	8	25	1	12	0	7	2	64	4
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aoroides;Aoroides columbiae	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	12	1	0	0	0	7	0	0	0	4	0	0	1	0	0	0	1	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Corallophila;Corallophila eatoniana	0	1	0	3	0	0	206	0	2	0	0	0	12	2	0	0	1	0	3	0	0	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Endocladiaceae;Endocladia	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	6	1	0	0	0	0	1	0	3	8	0	2	0	1	0	0	2	0	0	0	1	0	2	0	0	0	4	1	0	0	0	0	0	1	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Tiaropsidae;Tiaropsis;Tiaropsis multicirrata	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	2	7	3	13	4	1	11	3	2	4	1	2	4	8	1	0	9	7	2	1	2	1	1	1	3	3	0	2	4	4	2	10	1	13	2	0	4	18	4	3	0	0	42	0	0	1	3	5	0	1	1	1	0	9	3
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Hyalodiscaceae;Podosira;Podosira stelligera	30	4	5	0	5	3	0	5	1	1	5	0	5	4	5	0	9	46	0	6	6	5	0	0	27	11	0	2	4	9	0	5	2	3	1	0	5	33	9	10	3	0	40	0	0	21	37	4	0	5	1	13	3	11	4
Eukaryota;Phaeophyceae;NA;Ectocarpales;Ectocarpaceae	3	1	1	0	0	1	10	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	4	0	0	0	0	0	3	2	5	0	0	8	0	0	1	0	0	0	0	1	1	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae	5	0	1	6	2	1	13	6	3	2	0	0	5	5	12	0	4	12	1	1	3	0	0	1	4	2	0	1	1	3	3	6	0	6	2	0	1	7	3	2	1	0	13	0	0	3	4	2	0	1	0	3	0	9	1
Eukaryota;Arthropoda;Insecta;Lepidoptera	10	5	5	4	4	1	61	0	3	12	4	1	11	18	23	0	9	30	7	9	10	5	3	1	13	3	0	3	2	7	2	5	3	5	6	2	4	24	19	4	4	0	37	0	0	15	8	4	1	5	1	14	1	9	1
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	123	4	7	95	37	5	0	9	0	10	16	0	0	113	0	0	34	57	0	28	2	0	0	2	100	21	0	27	4	1	0	31	0	2	0	0	47	0	6	23	8	0	237	0	0	20	2	10	0	8	1	0	0	102	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Scytosiphonaceae;Petalonia;Petalonia fascia	1	0	0	1	2	0	0	0	0	0	4	1	1	4	1	0	1	4	1	1	0	2	1	0	2	0	0	1	1	0	1	2	0	1	0	0	1	0	0	1	0	0	4	0	0	1	0	1	0	1	0	0	1	4	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae	20	9	0	9	4	29	192	0	0	3	4	8	6	6	1	0	17	4	14	2	60	0	1	0	5	5	0	15	4	0	12	87	1	13	4	0	2	31	0	8	0	0	52	0	1	4	17	16	0	1	2	1	0	6	0
Eukaryota;Nemertea	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	1	0	1	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela larix	0	2	0	0	2	0	23	0	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
Eukaryota;NA	24	12	12	6	11	0	42	6	8	3	15	8	35	12	26	0	6	56	8	6	10	5	0	0	15	4	0	4	7	15	6	19	0	20	5	0	2	66	18	14	6	0	77	0	1	43	36	18	1	5	1	22	1	11	9
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	0	0	7	7	0	0	0	0	10	5	0	0	1	6	0	0	3	4	1	2	2	0	0	0	0	0	0	0	1	0	0	1	0	1	6	0	0	1	7	0	0	0	2	0	0	12	2	3	0	0	0	0	0	6	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Halymeniales;Halymeniaceae;Prionitis;Prionitis sternbergii	2	7	1	14	7	1	5	0	13	2	1	0	5	15	0	0	24	1	5	0	10	0	2	0	3	0	0	2	4	0	1	17	0	16	3	0	9	6	2	3	14	0	5	0	0	0	6	18	0	1	0	0	2	29	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. KT 15	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca	2	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae	7	6	1	4	3	0	22	2	2	3	0	0	4	11	6	0	2	11	5	3	3	1	0	0	6	3	0	1	1	3	3	11	0	1	1	0	4	12	5	2	4	0	17	0	0	9	9	9	0	0	0	3	0	8	1
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia	0	0	0	0	0	0	89	0	0	0	0	0	1	0	0	0	0	1	1	0	7	0	0	0	0	0	0	2	1	0	1	5	0	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;NA;NA;Pellucidodinium;Pellucidodinium psammophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
