18S_Euk_seq_number	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1v-S117
Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	169	136	142	111	98	27	53	142	145	0	199	241	96	138	495	73	40	7	77	8	0	11	33	482	0	242	121	35	0	458	134	64	122	194	24	14	56	15	62	54	42	7	0	129	0	44	25	9	48	217	3	20	0	147	134
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	129	55	87	77	122	26	183	195	343	0	19	123	103	139	913	115	31	21	63	7	0	14	33	5	1	108	75	43	0	287	134	34	177	263	28	54	63	21	216	222	75	25	0	62	0	32	114	33	58	112	7	24	0	94	116
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	15	316	15	23	2	213	4	4	6	0	0	11	6	11	3087	40	1	0	4	0	0	145	3	36	9	11	24	3	0	30	9	40	36	12	0	5	0	140	342	489	2	477	0	1	0	2	751	350	520	24	0	898	0	10	361
Eukaryota;Cercozoa	49	53	122	44	201	20	51	228	100	0	4	97	203	116	406	130	110	7	38	13	0	21	81	22	2	49	108	20	1	94	60	44	79	182	50	114	27	79	219	171	30	67	0	74	0	44	215	45	79	56	4	40	0	36	89
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis pseudojaponica	76	64	31	273	1491	17	51	1712	250	0	31	215	1359	1821	753	309	231	47	85	5	0	68	93	186	1	144	51	23	3	327	96	243	293	126	72	36	11	159	558	42	23	456	0	18	0	92	41	10	261	116	2	281	0	194	42
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	5	0	0	0	3	1	0	2	2	0	0	0	2	2	7	3	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	2	3	0	0	0	1	2	0	0	0	0	1	0	1	3	0	4	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	35	21	15	48	451	42	17	519	312	0	4	55	427	438	4438	804	67	5	12	13	0	67	20	118	1	19	63	6	3	53	4	51	69	197	16	55	4	80	257	36	9	290	0	5	0	39	26	16	189	60	1	192	0	22	16
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	41	16	21	86	94	4	8	117	58	0	0	102	104	128	332	82	14	2	26	3	0	6	4	15	0	51	18	19	0	1046	21	13	56	57	4	2	4	327	24	51	7	31	0	10	0	6	11	1	28	32	0	24	0	82	19
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	266	52	105	37	85	48	14	143	28	0	9	104	130	117	189	64	30	8	51	12	0	153	3	26	0	39	42	13	0	62	21	224	85	193	24	39	4	21	57	72	7	77	0	10	0	45	5	25	326	42	0	17	0	48	26
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	1146	228	281	309	118	43	83	134	111	0	108	453	121	255	260	136	53	36	105	20	0	32	43	4	0	450	291	196	0	463	186	76	672	340	18	16	146	43	36	54	119	1045	0	226	0	1711	23	6	142	540	3	33	0	538	267
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	416	63	39	273	211	9	43	257	122	0	254	390	295	927	129	83	89	68	655	12	0	38	20	323	0	378	90	25	3	340	49	178	229	73	13	221	24	99	18	32	47	106	0	60	0	524	8	7	134	327	0	150	0	404	146
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema ambulator	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Laminariales	1341	537	864	296	474	64	31	608	160	0	12	633	744	422	1935	541	252	19	540	16	0	90	49	134	1	378	539	34	9	542	186	743	654	410	48	55	54	175	138	459	35	254	0	79	0	93	70	18	297	247	2	223	0	222	172
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	0	1	0	0	15	3	39	28	19	0	0	0	17	3	6	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	2	0	5	4	0	5	25	0	3	0	0	0	0	0	8	1	0	0	0	0	0	0	1
Eukaryota;Chlorophyta	36	8	38	36	20	61	6	23	16	0	0	26	13	15	190	34	14	2	7	18	0	31	3	7	0	30	36	3	0	59	10	40	43	316	2	1	6	6	3	42	3	4	0	10	0	3	6	1	84	20	0	5	0	24	16
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	10	4	12	19	188	23	16	232	69	0	1	19	264	152	103	23	45	7	5	10	0	17	9	37	1	19	11	1	0	19	7	60	22	158	5	24	1	48	78	21	8	77	0	4	0	23	5	3	51	7	2	78	0	7	10
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	22	13	23	15	87	46	13	129	66	0	2	22	131	118	150	26	25	7	4	21	0	25	5	17	0	11	24	2	0	28	8	56	27	368	5	22	2	32	45	33	15	35	0	3	0	12	23	0	110	22	1	45	0	24	14
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.	781	111	142	176	14	6	10	12	26	0	1	236	7	23	253	42	21	5	88	3	0	10	6	0	0	298	82	588	1	569	107	98	85	94	2	2	47	2	6	63	23	3	0	69	0	18	0	392	20	207	0	4	0	198	101
Eukaryota;NA;Phaeophyceae;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella littoralis	0	0	1	0	12	18	0	5	17	0	0	0	9	17	3	0	4	3	0	1	0	17	1	8	0	2	0	0	0	1	0	0	1	11	4	2	0	0	1	1	0	3	0	0	0	0	1	0	50	0	0	1	0	1	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas tetrarhynchus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	13	5	12	16	7	2	7	9	12	0	1	10	6	19	17	12	3	0	5	1	0	1	3	0	0	14	14	8	0	35	6	7	8	15	2	2	3	2	4	7	0	3	0	5	0	3	3	3	5	12	1	1	0	14	7
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas australis	175	58	131	106	37	19	109	47	173	0	15	133	42	197	382	92	22	2	55	10	0	14	23	2	0	194	160	63	0	401	124	62	133	174	18	3	66	24	35	59	51	7	0	125	0	20	27	12	31	144	1	11	0	137	132
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	2	0	0	28	69	0	0	81	1	0	1	67	100	82	6	7	13	1	1	0	0	1	0	12	0	31	2	0	0	30	3	17	4	3	0	2	3	10	1	0	0	17	0	1	0	2	0	0	7	44	0	22	0	16	1
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Hydractinia;Hydractinia sp. PC-2008	1	3	0	0	0	0	0	0	0	0	0	0	0	2	12	2	0	0	0	0	0	3	0	0	0	6	5	1	0	1	1	17	4	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Cymbomonas;Cymbomonas tetramitiformis	775	708	641	330	64	122	4	69	23	0	0	787	43	27	2723	557	207	7	459	17	0	44	34	0	0	891	621	210	0	2225	691	158	520	719	22	7	350	10	41	226	10	1	0	551	0	32	14	7	205	857	0	12	0	522	720
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora sp. BLEED1777	279	50	243	28	11	113	5	19	20	0	2	38	18	20	947	103	6	2	54	73	0	43	12	1	0	46	333	15	2	58	53	117	223	1873	1	4	42	4	41	874	6	2	0	34	0	2	6	3	204	37	0	10	0	26	111
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium sp. SC1-1	1	0	0	5	12	0	2	27	0	0	0	2	22	11	3	1	3	0	2	0	0	2	1	3	0	0	1	0	0	2	0	4	1	0	0	0	0	1	5	0	0	7	0	1	0	2	0	0	4	1	0	3	0	1	1
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. LLF1b	87	26	85	34	104	69	29	127	64	0	6	45	94	108	499	121	34	2	35	23	0	56	8	16	1	54	167	10	0	43	32	84	150	409	10	9	6	26	40	40	21	47	0	10	0	16	4	4	182	28	0	18	0	28	27
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus gardneri	78	24	67	36	43	49	10	62	24	0	0	22	40	14	336	63	29	1	35	21	0	32	7	4	0	19	82	2	0	48	27	25	64	324	8	10	14	16	52	66	13	9	0	9	0	8	18	6	80	11	0	7	0	19	23
Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actiniidae	12	0	3	0	0	2	1	0	20	0	0	0	2	0	232	26	1	0	2	2	0	3	0	0	0	1	72	0	0	2	0	1	50	63	0	138	0	0	3	1	0	0	0	0	0	0	1	0	4	0	0	9	0	1	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Parlibellus;Parlibellus delognei	41	113	57	132	54	26	2	63	8	0	16	221	42	6	383	184	17	1	139	13	0	70	5	10	0	154	27	5	3	354	115	110	55	118	7	8	14	11	143	212	0	28	0	41	0	4	16	5	189	72	0	13	0	77	40
Eukaryota;NA;Phaeophyceae	531	33	39	200	317	96	64	391	211	0	21	245	330	399	566	119	235	8	31	12	0	72	58	56	0	104	76	16	0	257	18	111	107	286	24	33	5	126	113	103	61	115	0	17	1	81	43	13	209	85	4	143	0	109	32
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia amphibia	6	14	9	45	297	6	11	319	33	0	5	38	314	258	69	63	77	17	7	1	0	26	14	67	0	19	8	4	0	44	13	48	43	16	17	4	0	79	58	2	2	131	0	5	0	31	3	3	103	16	0	109	0	17	9
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;NA;Thraustochytriidae sp. thel2	4	6	4	10	184	1	20	232	51	0	4	29	157	187	35	16	61	8	2	4	0	7	14	54	0	25	9	2	0	25	3	14	13	9	7	9	3	74	34	4	18	108	0	0	0	21	6	5	22	12	0	63	0	11	6
Eukaryota;Euglenozoa;Kinetoplastea;Parabodonida;NA;Procryptobia	17	12	23	4	11	68	9	27	14	0	1	7	19	22	93	11	5	0	5	17	0	34	3	0	0	5	41	3	0	16	10	9	34	520	5	2	1	1	16	202	5	2	0	2	0	1	10	3	99	6	0	4	0	4	6
Eukaryota;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha fibula	229	63	98	108	32	15	17	38	93	0	1	283	32	84	76	32	29	3	66	4	0	17	13	1	0	65	58	14	0	261	162	33	34	78	16	11	23	31	16	84	11	6	0	68	0	350	16	5	69	110	0	15	0	63	43
Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Pseudochitinopoma;Pseudochitinopoma occidentalis	34	8	17	41	1	6	1	1	0	0	0	36	0	1	96	10	1	1	5	3	0	10	2	0	0	30	34	51	0	52	17	88	31	56	0	9	6	0	1	105	19	0	0	19	0	0	4	1	22	23	0	0	0	28	26
Eukaryota;Bacillariophyta;NA;NA;NA;Prestauroneis;Prestauroneis integra	14	3	6	9	9	6	3	13	4	0	1	8	9	6	109	23	9	2	5	1	0	3	4	1	0	7	9	1	0	13	6	6	22	32	2	1	1	8	16	6	1	7	0	3	0	2	2	3	21	2	1	1	0	2	7
Eukaryota;Porifera;Demospongiae;Poecilosclerida;Microcionidae;Clathria;Clathria prolifera	2	0	2	3	8	21	20	12	21	0	3	1	4	12	595	52	5	2	2	8	0	11	13	0	0	0	217	2	0	1	0	1	75	161	5	2	1	10	7	15	16	0	0	0	0	3	5	14	25	0	0	1	0	0	1
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite	5	3	10	3	22	27	0	34	30	0	0	6	42	24	43	3	4	0	2	13	0	10	1	6	1	5	16	5	0	5	3	3	9	270	2	17	2	4	26	9	2	6	0	3	0	5	8	1	53	4	0	6	0	2	8
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca steini	0	0	8	0	31	0	34	31	1	0	0	0	0	0	62	6	2	0	6	0	0	1	2	0	1	2	2	0	0	2	8	4	1	0	0	0	0	3	0	7	0	0	0	0	0	2	0	1	4	0	0	4	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia	5	2	2	3	1	1	0	1	0	0	0	0	1	2	7	5	0	0	1	0	0	2	0	2	0	0	2	1	0	1	0	1	0	3	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1
Eukaryota;Porifera;Calcarea;Leucosolenida;Leucosoleniidae;Leucosolenia	30	8	15	8	18	13	8	22	64	0	1	10	11	14	476	69	10	1	9	11	0	12	3	1	0	20	214	3	0	39	12	25	121	142	6	4	3	7	25	9	11	1	0	5	0	3	8	3	33	12	0	2	0	20	10
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	123	28	128	69	66	22	102	83	215	0	16	135	54	198	289	58	37	5	49	1	0	10	30	1	1	105	135	27	1	167	75	34	91	115	20	18	45	17	44	47	79	9	0	61	0	20	21	8	37	71	1	16	0	114	113
Eukaryota;Arthropoda;Thecostraca	163	1656	468	215	14	352	26	22	74	0	4	874	13	12	9649	1761	12	47	45	101	0	25	333	14	0	26	3776	153	1	127	76	47	2749	1526	215	25	19	27	47	659	23	4	0	25	0	492	450	32	110	31	19	5	0	32	32
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella choctawhatcheeana	9	21	5	54	39	3	1	54	6	0	3	101	34	68	93	42	14	1	17	0	0	10	13	3	0	74	7	3	0	81	25	23	61	5	10	170	0	10	8	9	1	7	0	11	0	10	0	0	23	83	0	10	0	65	10
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae;Sargassum	4	0	1	0	5	1	0	1	3	0	0	0	1	0	6	2	2	0	0	3	0	2	1	1	0	0	1	0	0	3	3	3	0	18	1	0	1	0	3	5	0	1	0	0	0	0	0	1	5	0	0	3	0	1	1
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus	19	2	102	145	2	25	128	3	842	1	2	190	84	291	867	94	336	73	486	40	0	38	272	30	0	125	268	19	0	216	95	66	44	231	162	5	400	819	271	217	2	187	0	498	0	231	14	2	145	279	0	46	0	50	166
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae	48	21	33	58	171	8	41	218	70	0	7	140	114	161	248	100	37	5	52	4	0	15	35	9	0	110	37	10	1	125	68	46	111	41	15	8	11	19	54	12	12	33	0	38	0	23	8	5	43	163	0	22	0	88	68
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Agetus;Agetus flaccus	7	0	0	0	0	0	0	0	0	0	0	12	10	10	13	0	4	0	0	1	0	1	0	0	0	0	4	0	1	47	7	3	32	0	0	1	5	0	0	0	5	0	0	12	0	2	0	0	10	9	0	0	0	0	37
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp.	8	3	1	4	0	0	1	1	0	0	0	7	0	1	21	3	1	0	1	0	0	1	0	0	0	11	2	1	0	15	4	5	10	8	0	0	1	0	0	3	0	0	0	4	0	0	0	0	2	8	0	0	0	4	9
Eukaryota;Cercozoa;Imbricatea;Thaumatomonadida;NA;Allas;Allas sp.	45	22	26	43	208	8	33	242	97	0	2	62	170	125	73	13	71	12	27	3	0	11	42	21	2	29	30	281	3	52	41	22	24	40	30	42	6	94	100	115	20	57	0	8	0	35	127	17	29	38	0	44	0	22	18
Eukaryota;Discosea;NA;Himatismenida;NA;Parvamoeba;Parvamoeba rugata	18	10	12	5	28	12	3	45	22	0	2	18	29	18	47	11	31	2	10	2	0	7	14	7	0	11	22	0	0	16	19	22	15	23	9	13	1	16	36	21	3	12	0	2	0	9	22	5	32	10	0	4	0	8	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira hendeyi	8	6	1	1	8	5	0	2	2	0	3	8	1	7	5	1	1	3	5	0	0	1	0	1	0	4	0	3	0	6	2	1	1	2	0	13	0	2	1	1	1	12	0	0	0	6	1	0	0	3	0	1	0	2	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae	16	1	3	8	74	3	1	89	12	0	0	8	71	40	19	11	19	2	6	0	0	2	1	23	0	3	1	1	0	19	1	22	3	3	3	9	0	8	31	3	0	36	0	0	0	20	0	0	3	2	0	32	0	6	3
Eukaryota;Mollusca;Gastropoda;Trochida	73	32	45	130	0	10	2	1	0	0	0	86	0	0	251	48	0	0	37	3	0	9	0	0	0	151	78	15	4	140	30	129	69	104	0	0	22	0	0	162	0	0	0	46	0	0	1	0	28	109	0	0	0	93	68
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. NIES-1333	3	2	3	1	1	0	0	0	3	0	1	3	0	2	2	0	0	0	0	0	0	1	0	0	0	4	5	0	0	3	2	1	4	1	0	1	1	0	0	0	1	0	0	5	0	0	0	0	1	4	0	0	0	0	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia	6	8	12	3	95	4	48	89	83	0	6	9	62	75	18	9	27	12	11	1	0	3	23	1	0	20	5	4	0	9	8	1	7	13	20	29	2	20	121	7	37	8	0	8	0	18	41	15	4	21	0	15	0	6	7
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Monostromataceae;Monostroma;Monostroma grevillei	7	4	11	10	6	24	2	5	1	0	0	11	5	6	65	11	1	0	3	2	0	8	3	1	0	11	8	0	0	20	3	6	16	112	0	0	1	2	1	12	1	2	0	3	0	1	1	1	20	7	0	0	0	6	5
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium	76	28	20	29	14	10	0	7	2	0	0	52	5	6	80	31	2	0	19	4	0	18	0	2	0	32	104	3	0	39	5	76	47	60	0	0	6	0	0	20	0	4	0	4	0	1	0	0	92	24	0	2	0	10	16
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus	0	0	0	0	0	0	0	0	1	0	1	1	3	0	10	3	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride	117	55	113	56	13	10	64	22	140	0	6	99	19	203	129	29	23	4	55	8	0	6	17	0	0	134	138	44	0	192	73	30	115	117	9	13	57	14	17	26	62	10	0	54	0	14	13	5	12	88	1	16	0	108	83
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Eutintinnus;Eutintinnus pectinis	701	72	631	80	22	11	287	28	372	0	22	40	8	455	78	52	64	1	72	44	0	10	44	12	1	341	1504	266	0	317	101	57	489	623	51	20	152	35	26	127	216	845	0	134	0	30	12	14	58	71	2	12	0	359	267
Eukaryota;Bacillariophyta;Fragilariophyceae	28	12	3	36	254	5	0	325	25	0	0	48	263	129	67	44	47	4	12	1	0	10	11	60	0	42	11	4	1	46	8	68	17	10	4	33	2	28	100	9	1	102	0	3	0	31	6	1	36	26	0	123	0	30	8
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Dorvillea;Dorvillea cf. similis	0	0	1	10	1	6	5	4	3	0	1	4	2	1	7	1	4	1	0	0	0	4	2	0	0	4	4	3	0	7	1	4	0	68	3	1	0	1	0	8	5	0	0	0	0	2	0	4	11	1	0	0	0	6	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. AAA795-N17	15	1	4	4	15	0	1	19	11	0	1	14	15	28	11	1	3	2	2	0	0	1	0	5	0	3	4	0	0	20	2	2	1	2	0	6	1	3	15	2	2	5	0	4	0	1	4	0	2	8	0	5	0	9	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Cephaloidophoridae;Cephaloidophora;Cephaloidophora cf. communis	8	1	3	44	564	0	23	756	77	0	28	119	314	344	7	4	778	155	4	0	0	2	57	157	0	5	9	1	1	403	41	9	35	0	44	8	0	537	10	7	11	233	0	0	0	122	17	5	11	6	0	124	0	5	4
Eukaryota;Annelida;Polychaeta;Phyllodocida	13	7	36	73	308	27	116	383	398	0	4	40	161	265	90	6	7	8	5	16	0	22	12	22	0	11	23	2	0	15	12	13	19	172	14	79	6	56	159	20	7	31	0	5	0	16	91	9	49	2	4	44	0	2	18
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae	0	0	0	1	2	0	1	3	1	0	0	2	2	3	11	1	0	0	1	1	0	1	0	1	0	1	1	1	0	8	1	2	1	3	0	0	0	1	3	1	1	0	0	1	0	2	1	0	0	3	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos	39	24	74	30	0	2	0	0	12	0	0	90	66	45	12	24	0	1	15	3	0	9	11	0	0	30	25	7	0	39	54	39	18	10	0	1	9	7	18	35	0	13	0	83	0	0	3	0	17	90	0	7	0	53	23
Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea rivularis	0	0	1	0	0	12	0	0	0	0	0	0	0	2	73	0	0	0	1	0	0	1	1	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis cryptochromatica	167	63	183	119	108	18	129	155	289	0	24	170	91	244	361	72	65	16	59	8	0	8	67	931	0	175	143	58	1	371	103	72	127	156	36	28	67	36	90	70	92	1388	0	128	0	45	23	21	26	146	2	20	0	140	142
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae	29	24	20	23	151	2	131	194	253	0	64	30	91	607	26	9	36	10	16	1	0	9	26	9	0	59	23	9	0	48	28	11	100	48	26	10	6	55	30	1	62	32	0	12	0	38	7	1	31	75	3	28	0	61	24
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae	76	19	37	30	89	14	14	90	75	0	2	57	48	54	375	76	7	0	23	11	0	14	4	3	1	33	35	9	1	87	36	26	105	121	6	14	9	11	99	55	6	16	0	24	0	8	20	10	56	26	1	4	0	46	48
Eukaryota;Cnidaria;Hydrozoa	6	1	1	5	6	2	1	2	26	0	0	2	3	7	221	36	1	0	0	4	0	6	0	2	0	4	82	3	0	1	2	9	54	18	0	2	0	1	15	6	0	5	0	1	0	1	4	1	15	3	0	3	0	2	0
Eukaryota;Echinodermata;Holothuroidea;Apodida;Synaptidae	2	0	0	2	0	0	0	0	2	0	0	0	2	0	1	1	0	0	0	2	0	1	0	0	0	3	2	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	2	3
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata	72	14	40	11	48	9	9	65	99	0	5	6	61	43	649	163	19	5	7	3	0	7	5	22	0	5	435	4	0	23	20	41	212	157	6	35	8	37	54	130	8	28	0	10	0	13	6	6	20	6	1	15	0	8	13
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus sp. CCMP1701	29	20	19	85	121	9	31	168	58	0	6	175	144	199	111	37	36	12	33	0	0	12	22	14	0	98	34	5	1	120	59	55	65	27	14	7	8	31	60	14	13	29	0	34	0	14	13	2	47	100	1	28	0	92	17
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes raikovi	4	14	2	0	4	4	0	4	18	0	0	6	7	9	69	21	1	0	1	5	0	1	0	0	0	0	84	3	0	61	20	10	45	17	0	4	1	1	11	4	2	2	0	2	0	1	1	1	3	0	0	2	0	3	2
Eukaryota;Mollusca;Gastropoda;Neogastropoda;Columbellidae;Mitrella;Mitrella bicincta	6	8	3	20	1	61	0	1	382	0	1	7	784	8	47	13	0	0	257	20	0	22	1	2	0	41	281	347	0	12	146	2	421	52	1	207	0	1	2	173	3	1	0	0	0	0	2	0	41	1	0	2	0	11	29
