18S_Euk_seq_number	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5c-S89
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	2	2	69	256	170	139	55	319	150	207	41	278	152	36	107	152	106	19	0	856	34	46	132	2125	58	0	402	120	245	740	151	270	34	254	28	13	67	190	81	58	45	0	460	169	145	157	0	13	0	52	189	13	2	91	37
Eukaryota;NA	16	3	74	12	117	105	46	121	26	23	37	57	113	33	24	12	20	19	0	109	89	58	143	51	32	0	26	134	117	83	225	250	69	70	62	1	54	1102	139	56	77	0	270	107	148	15	0	17	0	8	151	8	0	121	6
Eukaryota;Bacillariophyta;Bacillariophyceae	45	2	184	40	612	795	468	1328	206	84	283	714	921	1043	95	87	365	480	0	1212	667	981	626	369	298	0	48	448	1046	520	708	2482	713	201	89	8	87	4063	1084	302	417	4	1128	526	317	77	0	298	0	53	693	304	3	323	134
Eukaryota;Ciliophora	25	2	333	16	393	231	988	88	49	37	27	104	122	69	14	32	19	34	0	363	169	217	395	55	22	0	534	353	82	429	427	576	118	59	70	2	156	443	304	130	87	3	781	126	256	36	0	8	0	135	359	23	0	272	13
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	35	1	542	374	1181	1078	485	744	152	267	3408	548	493	203	195	201	70	446	0	1186	776	597	705	234	162	0	437	1838	599	1412	947	3507	1049	360	201	18	320	2174	884	804	479	2	3209	791	626	236	0	227	0	112	1368	65	1	716	207
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	124	1	148	8	169	303	764	92	1	5	46	284	100	834	30	3	3	191	0	64	495	463	1255	0	28	0	1	411	64	57	998	1903	182	2135	151	1	149	1128	828	163	667	2	1108	373	454	3	0	21	0	0	254	249	1	257	1
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	46	1	499	217	1114	1545	1493	699	132	305	44	390	376	109	158	165	64	48	0	986	668	278	831	1577	113	0	344	1038	570	793	1111	1384	354	391	323	13	408	1149	856	882	363	3	2528	694	819	215	0	7	0	210	1314	28	1	1105	44
Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Roscoffia;Roscoffia capitata	6	1	53	6	97	121	34	22	5	5	2	10	13	13	2	2	0	5	0	23	53	16	143	4	2	0	16	137	16	18	105	35	32	15	58	1	42	68	93	50	46	0	164	48	55	6	0	0	0	3	76	3	0	106	1
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	0	1	0	0	2	0	10	0	0	0	0	0	0	0	0	0	5	0	0	111	13	0	35	0	1	0	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	86	38	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	97	1	359	207	1490	2246	1856	34838	3285	474	12629	11749	27828	2784	3976	339	123	802	0	14249	3539	4110	624	3117	12096	0	103	4971	29000	3765	1157	5328	6198	9129	97	19	77	5227	1405	1959	1595	125	5368	785	612	399	0	6609	0	438	3543	828	9	539	484
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	0	1	0	0	0	1	0	10	2	1	4	1	9	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	3	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Haptophyta;NA	5	1	52	28	84	51	23	17	7	8	7	15	18	19	6	11	2	9	0	62	63	26	75	7	3	0	36	82	25	73	95	134	40	19	24	1	25	85	58	35	33	0	220	32	72	9	0	0	0	4	131	4	0	71	2
Eukaryota;Annelida;Polychaeta;NA;Capitellidae;Capitella	0	1	0	0	0	0	0	2	0	1	0	3	2	0	0	0	2	1	0	2	0	0	3	1	0	0	0	1	3	2	19	1	2	1	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	25	1	165	113	210	148	80	268	37	71	753	208	167	63	345	52	26	44	0	300	156	100	225	64	32	0	106	286	224	453	398	738	97	87	78	5	88	282	164	86	170	1	597	161	188	33	0	8	0	28	321	15	2	284	21
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	1	1	24	16	101	117	117	97	11	22	123	37	73	38	43	13	38	26	0	195	54	48	20	155	13	0	10	138	86	48	34	226	44	24	19	1	5	125	44	81	3	1	113	66	34	22	0	15	0	43	80	7	0	15	229
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	0	1	6	2	19	26	572	56	26	17	18	37	29	28	8	2	0	5	0	31	35	64	26	12	19	0	3	32	52	1	23	128	28	20	1	0	2	28	51	14	35	0	51	26	10	7	0	98	0	2	34	5	0	19	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	15	1	211	86	748	807	209	654	124	103	1850	225	459	308	62	103	296	92	0	857	467	323	241	82	140	0	114	1348	505	386	276	648	327	186	62	2	91	3511	436	166	108	2	898	440	230	55	0	35	0	44	695	94	3	343	16
Eukaryota;Ciliophora;Spirotrichea;Tintinnida	40	1	250	12	285	1139	238	9	6	9	2	4	9	29	372	2	205	16	0	70	272	84	1346	7	9	0	7	258	7	28	1558	1914	108	1718	1310	0	258	120	1260	62	124	1	1309	191	260	3	0	6	0	3	405	20	1	1118	28
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Omegastrombidium;Omegastrombidium elegans	5	1	11	62	85	89	96	176	48	21	42	156	131	50	38	31	78	17	0	208	105	214	297	33	38	0	46	85	152	282	119	476	35	40	34	6	17	115	65	77	146	0	390	144	89	13	0	17	0	18	45	19	0	140	9
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	0	1	87	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	243	0	0	0	0	0	83	0	0	0	0	0	114	0	0	0	0
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	111	0	27	16	61	43	90	197	88	51	87	322	147	504	66	54	27	110	0	112	52	1299	130	41	230	0	21	141	151	65	1732	1983	248	107	13	1	18	206	158	50	237	4	140	96	89	25	0	69	0	2	99	134	0	77	4
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Idanthyrsus;Idanthyrsus australiensis	217	0	359	23	701	857	263	1397	122	36	1268	261	184	1120	545	86	583	569	0	768	921	572	982	41	75	0	138	963	1096	144	3455	2761	2797	2530	82	0	213	3625	1573	827	827	2	1232	580	702	30	0	96	0	32	1747	389	3	699	157
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	30	0	128	73	195	26	452	783	51	40	88	656	502	112	337	68	120	71	0	753	288	419	680	18	124	0	91	696	570	1730	432	2246	5207	35	5	22	10	58	548	195	1331	4	114	22	155	33	0	19	0	4	427	42	0	489	37
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	0	0	2	2	24	10	4	4	144	3	508	367	6	533	5	757	385	228	0	11	23	42	24	2	912	0	4	16	2	6	12	3179	41	1	3	0	0	11	36	323	526	0	31	9	363	0	0	37	0	0	11	146	10	16	0
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	358	0	57	0	79	262	7	9	2	0	548	9	3	2040	3	0	3	1066	0	13	132	63	96	0	0	0	3	17	6	19	6811	307	356	2440	76	0	10	130	104	14	175	2	348	54	89	0	0	0	0	0	210	622	0	37	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	276	0	38	0	53	21	1	3	0	0	0	5	1	2377	119	11	0	730	0	2	30	60	51	1	0	0	1	1	4	4	3889	516	83	1	6	0	35	950	27	6	108	0	205	230	55	0	0	0	0	0	45	661	0	1	2
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Eusirus;Eusirus perdentatus	1	0	1	1	17	1	2	2	0	0	1	16	2	2940	0	1	0	126	0	0	10	999	29	1	0	0	0	0	0	4	2	44144	9	1	0	0	0	1217	26	11	3	0	9	32	0	1	0	0	0	0	5	729	0	0	3
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	4	0	3	0	5	5	5	1	0	0	0	1	0	1328	0	0	0	5	0	0	2	21	47	0	41	0	0	25	2	1	54	119	5	0	0	0	1	5	37	2	40	0	2	1	7	0	0	0	0	0	9	330	0	15	0
Eukaryota;Bacillariophyta;Mediophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;Biddulphia sp. CCMP147	9	0	13	20	31	22	33	84	179	118	18	72	22	77	19	39	46	25	0	92	27	84	47	98	8	0	18	32	65	51	47	254	47	116	10	1	13	42	52	32	19	0	70	31	64	48	0	16	0	9	82	27	1	48	5
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	2	0	0	2	7	2	9	18	1	0	3	2	16	17	6	3	2	7	0	5	16	17	23	3	2	0	0	25	11	7	33	82	16	2	1	0	4	14	17	9	13	0	2	3	9	1	0	39	0	0	7	2	0	7	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida	17	0	40	124	38	68	367	1961	4288	284	249	30844	520	123	1057	438	159	45	0	96	107	49	125	13	256	0	2	66	1522	39	32	576	82	404	23	0	62	327	197	797	154	0	781	52	106	214	0	80	0	0	62	32	5	89	7
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana	17	0	9	8	24	87	57	99	7	9	41	104	63	76	21	8	1	38	0	132	59	275	708	3	18	0	17	130	76	255	364	1478	25	6	9	4	17	38	525	57	59	0	90	34	27	5	0	15	0	7	37	24	2	114	2
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	13	0	20	87	31	126	71	149	27	41	8	51	92	86	7	24	172	38	0	308	34	79	252	34	1	0	92	1101	100	196	298	284	37	67	53	3	52	230	194	70	29	0	468	122	28	26	0	1	0	14	82	22	0	207	11
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	45	0	593	381	2748	2826	2889	2976	514	724	2431	994	1995	1425	1230	462	475	762	1	5047	1489	1474	511	3945	579	0	499	3768	2550	1321	1004	5931	1125	723	655	16	256	3121	1896	2080	231	15	3664	1723	907	482	0	434	0	918	2239	380	3	583	642
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	623	0	40	33	55	114	43	211	28	27	120	111	197	1693	25	50	35	969	0	267	100	53	121	1541	32	0	40	148	160	281	11532	428	84	128	12	6	25	149	98	38	126	1	165	39	75	17	0	7	0	3	120	488	1	77	7
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria alveolata	19	0	18	1	32	58	26	103	15	1	76	23	10	92	39	5	37	35	0	50	64	42	47	1	7	0	9	58	65	12	295	183	168	177	7	0	12	186	100	45	50	1	94	28	43	1	0	7	0	2	110	35	0	38	12
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	1	0	0	0	0	17	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0
Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	8	0	134	43	226	153	79	147	16	37	9	63	102	48	16	25	9	28	0	144	119	75	125	47	20	0	53	176	100	153	200	514	69	41	35	3	57	250	124	147	58	0	484	139	141	26	0	487	0	209	248	11	0	151	7
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	7	0	82	78	172	170	83	204	24	37	145	221	115	85	105	117	33	31	0	162	120	152	91	33	26	0	184	286	128	356	273	995	59	34	47	7	70	370	212	63	231	0	372	160	136	28	0	6	0	20	162	20	1	99	21
Eukaryota;Cercozoa	21	0	108	60	94	71	53	459	130	135	140	449	376	127	191	317	78	33	0	263	67	198	184	74	61	0	78	85	387	313	341	671	71	189	32	7	39	146	158	86	270	1	144	104	135	85	0	48	0	20	70	38	4	194	12
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis pseudojaponica	7	0	24	30	144	215	96	2000	180	106	499	662	1542	294	50	51	11	19	0	2107	295	363	71	104	325	0	60	100	1701	328	150	921	279	256	29	2	11	242	332	81	71	3	390	118	56	81	0	202	0	34	163	73	1	43	53
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	0	0	15	2	6	5	1	22	1	0	11	24	6	5	6	14	3	1	0	13	3	8	9	4	4	0	4	8	15	15	24	40	3	4	1	0	0	1	21	1	4	0	9	1	8	2	0	1	0	1	10	1	0	3	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. LuSi-1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	13	0	5	9	61	22	12	529	81	21	295	266	433	191	56	26	16	42	0	444	48	830	64	40	194	0	17	35	455	317	201	4548	52	68	6	1	4	57	71	21	36	3	53	4	17	16	0	120	0	4	20	69	1	15	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii	0	0	5	8	11	4	0	14	5	15	2	38	19	4	8	5	1	2	0	40	9	6	6	4	9	0	15	7	10	17	15	20	12	14	3	0	3	19	5	17	3	0	29	34	17	9	0	0	0	2	13	2	0	17	1
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	3	0	10	7	32	83	26	118	329	4	31	24	105	28	2	11	1	4	0	129	87	82	19	6	24	0	8	41	94	59	57	335	13	14	19	0	4	102	57	17	51	0	1049	21	19	4	0	15	0	0	51	6	0	21	2
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	12	0	10	11	43	52	54	156	30	7	79	71	146	340	40	10	27	50	0	135	39	68	44	48	20	0	15	277	94	40	200	205	227	36	21	0	5	106	89	57	78	0	65	22	26	28	0	27	0	9	42	156	0	109	9
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	20	0	227	120	544	544	105	135	43	43	1053	36	121	142	16	23	6	43	0	258	314	138	295	1723	33	0	85	1154	121	112	343	262	76	53	197	3	147	458	679	230	56	0	466	188	274	18	0	4	0	110	457	33	0	282	36
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	17	0	81	62	422	528	924	345	140	27	122	22	388	170	301	12	7	11	0	1185	352	116	117	728	186	0	55	563	269	169	101	181	234	118	35	0	30	498	277	81	38	4	426	73	186	19	0	758	0	362	485	53	0	49	98
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema ambulator	5	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	3	0	0	0	1	0	1	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Eukaryota;NA;Phaeophyceae;Laminariales	16	0	83	38	249	224	549	612	178	50	261	140	756	300	57	71	18	65	0	428	298	549	547	95	228	0	32	1360	478	164	422	1953	748	255	36	2	55	641	662	544	470	9	546	188	172	48	0	134	0	12	382	91	1	876	21
Eukaryota;Arthropoda;Malacostraca	0	0	0	0	0	0	0	0	0	0	0	2	1	80	2	0	0	6	0	1	0	35	0	0	0	0	2	0	2	0	1	1355	1	0	0	0	0	31	1	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	0	0	0	3	0	0	0	28	5	3	0	25	17	0	4	8	1	3	0	3	0	0	0	0	0	0	40	0	15	19	0	6	0	1	0	0	0	0	2	1	0	0	0	1	1	5	0	0	0	0	1	1	0	0	0
Eukaryota;Chlorophyta	18	0	10	3	21	25	7	23	6	3	5	3	14	86	1	6	1	61	0	16	36	34	36	3	6	0	6	36	21	17	319	192	41	14	3	0	6	26	44	8	43	0	61	10	18	2	0	8	0	0	30	31	0	38	2
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	11	0	4	8	8	7	5	250	52	9	85	84	287	52	24	5	4	23	0	160	25	27	14	25	82	0	25	12	206	74	163	112	62	48	2	2	1	21	25	4	25	0	23	7	10	5	0	40	0	1	21	17	1	13	7
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	21	0	3	15	22	25	4	129	32	5	36	46	131	110	22	23	0	46	0	120	15	27	26	12	45	0	13	22	88	68	372	152	56	25	2	1	2	22	27	13	34	0	28	8	14	5	0	17	0	2	12	26	0	23	7
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. PBS05	0	0	0	1	2	1	2	20	5	2	8	6	25	9	1	2	1	0	0	16	1	2	2	1	2	0	2	1	13	13	5	3	2	2	0	0	0	2	1	0	4	0	3	2	1	2	0	3	0	0	2	5	0	2	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.	6	0	95	37	267	276	111	35	8	13	6	16	27	32	11	11	397	11	0	53	245	67	157	44	7	0	37	829	32	58	137	358	122	33	614	0	62	335	125	140	78	1	781	129	133	8	0	0	0	5	387	12	0	187	8
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Holosticha	6	0	11	0	15	2	6	52	6	5	3	51	8	7	5	0	4	7	0	9	11	36	12	12	5	0	4	11	31	13	24	128	13	5	0	1	3	8	24	15	26	0	40	41	13	21	0	7	0	0	22	4	0	11	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella littoralis	1	0	0	0	0	1	0	7	0	1	3	2	9	52	2	1	0	19	0	18	0	0	0	0	1	0	0	0	12	17	11	4	0	4	0	0	0	0	1	0	1	0	1	0	0	4	0	8	0	0	2	17	0	1	3
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas tetrarhynchus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	3	0	7	0	14	17	20	201	38	17	108	54	186	88	7	1	3	16	0	107	34	54	14	11	52	0	1	26	175	24	57	96	41	32	5	1	9	44	33	26	21	1	36	16	20	8	0	45	0	2	25	28	0	11	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	1	0	7	0	13	14	5	9	2	3	3	4	6	7	2	3	3	2	0	19	16	12	15	3	1	0	9	16	7	13	17	19	7	4	8	1	3	12	9	6	8	0	38	7	9	2	0	0	0	1	16	1	0	12	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas australis	10	0	126	53	144	140	56	47	24	23	7	35	42	31	4	28	12	19	0	197	106	94	162	20	11	0	109	177	37	178	178	389	62	22	63	1	69	134	134	58	61	0	403	125	134	18	0	2	0	16	197	14	0	133	2
Eukaryota;Foraminifera;NA	0	0	1	42	2	2	0	53	43	30	11	42	45	8	8	44	17	1	0	59	2	4	6	33	5	0	51	5	48	55	11	5	2	57	0	0	0	2	2	2	4	0	5	1	3	26	0	3	0	7	0	6	1	7	15
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	0	0	2	0	48	16	1	82	10	0	17	1	101	7	2	0	0	1	0	82	28	7	2	2	22	0	0	3	69	1	3	6	17	13	1	0	3	67	4	0	0	0	32	4	1	0	0	12	0	1	33	1	0	0	1
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Hydractinia;Hydractinia sp. PC-2008	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	5	0	0	0	0	1	0	0	11	12	18	0	1	0	0	0	4	3	2	0	1	1	1	0	0	0	0	0	6	3	0	0	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Cymbomonas;Cymbomonas tetramitiformis	17	0	556	10	862	525	464	69	10	34	1	41	43	205	7	14	7	124	0	27	335	562	623	33	12	0	4	782	66	23	726	2739	160	210	214	0	353	791	526	717	228	0	2246	694	723	22	0	0	0	0	897	44	0	647	7
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora sp. BLEED1777	120	0	50	9	53	40	83	54	5	18	5	96	25	335	11	12	6	184	0	27	46	167	567	2	16	0	8	456	31	30	3081	1567	187	7	32	0	59	83	328	86	1505	6	109	101	172	3	0	3	0	2	87	75	0	356	3
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium sp. SC1-1	3	0	1	0	2	3	3	46	6	4	20	9	43	13	1	0	0	0	0	31	10	1	1	5	7	0	2	1	51	2	3	6	7	5	0	0	0	13	1	1	0	0	7	0	2	0	0	5	0	0	5	3	0	1	2
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. LLF1b	23	0	10	21	28	28	35	127	26	8	47	41	94	184	9	4	4	69	0	109	35	121	167	16	18	0	29	87	104	64	413	501	84	34	10	0	6	46	151	26	40	0	43	32	27	10	0	16	0	6	54	56	1	85	2
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae	58	0	331	381	474	756	268	475	309	308	940	182	404	72	67	137	203	163	1	805	311	76	940	691	88	0	625	801	344	498	731	155	107	347	221	7	117	279	497	189	146	1	596	173	558	228	0	45	0	117	647	20	3	730	180
Eukaryota;NA;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus gardneri	21	0	9	13	11	19	37	63	16	7	9	54	41	81	10	18	7	50	0	15	36	63	82	8	7	0	10	79	43	25	327	338	25	30	2	0	14	23	65	24	67	0	48	27	23	8	0	4	0	0	19	32	0	68	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter	1	0	20	8	67	84	14	139	30	17	94	57	134	25	28	20	74	12	0	169	44	18	12	40	24	0	14	120	115	60	29	70	20	157	18	0	8	125	41	29	21	0	114	28	17	22	0	26	0	15	68	15	0	49	10
Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actiniidae	2	0	2	0	0	1	2	0	0	0	0	4	2	4	144	1	0	2	0	0	0	26	73	0	9	0	1	12	0	20	63	236	1	1	0	0	0	0	51	0	1	0	2	0	0	0	0	0	0	0	1	3	0	3	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Parlibellus;Parlibellus delognei	13	0	41	0	72	77	139	64	12	5	28	144	42	192	8	16	5	26	0	6	132	184	27	4	13	0	2	42	54	8	119	383	110	17	5	0	14	221	55	115	213	3	354	115	40	7	0	10	0	16	154	70	0	57	1
Eukaryota;NA;Phaeophyceae	14	0	19	65	87	114	34	406	131	58	120	118	343	215	33	45	14	98	1	415	208	121	79	82	147	0	69	551	326	223	294	576	115	240	17	4	5	252	112	33	108	0	259	18	33	24	0	60	0	21	107	73	0	40	8
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia amphibia	1	0	5	3	23	25	11	423	99	17	164	82	395	128	5	4	4	6	0	351	54	73	10	37	144	0	11	11	371	41	21	95	58	97	4	0	0	49	58	17	2	0	52	19	11	26	0	85	0	7	28	31	0	10	19
Eukaryota;NA;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;Desmarestia dudresnayi	0	0	3	13	17	7	8	297	94	11	75	28	258	7	16	23	12	1	0	169	18	2	5	17	89	0	17	9	231	68	4	38	15	99	0	0	2	21	6	4	7	1	19	1	7	11	0	31	0	8	11	4	1	2	10
