18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	21	202	124	41	0	104	170	173	291	150	284	15	177	3	2794	513	2	273	209	86	257	0	0	0	360	339	97	54	230	62	59	25	270	326	334	225	347	236	281	1158	675	118	370	369	216	163	336	0	438	322	0	536	134	87	193
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	9	185	87	23	0	86	16	47	148	121	18	13	48	1	37	24	7	204	40	89	36	0	0	1	270	383	93	52	213	7	73	11	320	334	272	71	51	154	71	3	409	648	234	38	192	35	180	0	210	180	0	384	136	75	40
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense	69	3445	520	43	1	1482	1392	127	1612	199	74	82	177	9	4048	685	8	1987	86	1327	429	3	0	2	3122	533	678	218	2395	589	2297	1269	1807	615	2230	144	1581	1337	163	1262	3967	1620	2548	57	155	36	2489	0	2286	4040	0	3027	1475	771	531
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Geminigera;Geminigera cryophila	6	145	49	4	0	32	3	31	68	29	5	7	16	2	16	11	0	110	1	48	2	0	0	0	185	51	43	17	83	4	52	6	156	43	109	24	19	38	31	1	215	45	117	11	34	6	98	0	98	119	0	201	52	38	10
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida	135	114	361	361	0	856	214	746	83	195	376	21	39312	1	24	1347	1	142	1557	554	0	7	0	11	2116	175	1726	547	419	106	36	378	104	114	270	1724	985	528	2201	117	1432	450	278	512	9	4973	2270	0	110	620	0	2024	321	499	160
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	0	0	0	0	0	158	1	46	1186	0	0	0	4	2	0	0	73	7	0	0	67	0	0	0	166	0	55	1	1	0	31	64	2675	2	107	1	296	0	0	1	0	40	0	28	1913	4	682	0	2425	0	0	11	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	48	1060	242	40	0	1177	2	228	989	50	38	19	5	5	1508	0	2	1046	82	270	484	1	0	0	2533	4	311	174	909	34	541	52	1869	84	1088	9	50	432	22	7	1714	500	1756	29	9	50	715	0	1534	810	0	410	806	350	417
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus	0	1	3	0	0	0	2	0	0	1	0	0	2449	1	0	0	94	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	1112	1	0	1681	0	490	5	0	0	0	1	709	0	0	0	1	0	11	1	214	241
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	43	497	314	0	0	985	0	1	847	0	0	30	0	6	943	0	0	421	0	249	0	2	0	0	1099	0	675	135	107	0	117	0	113	1	73	0	11	869	0	277	1282	629	1428	0	0	10	819	0	885	1170	0	635	327	165	32
Bacteria;Pseudomonadota;Alphaproteobacteria	28	106	32	70	0	43	43	321	39	23	44	6	92	1	182	77	1	57	23	7	15	2	0	0	188	313	42	90	68	46	46	229	68	119	28	238	92	27	358	118	166	34	87	32	35	66	30	0	80	178	0	147	91	57	53
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	27	59	47	68	0	28	86	434	30	47	28	30	231	1	124	31	8	70	47	11	6	0	0	1	132	609	107	103	77	6	47	224	571	615	129	362	93	44	522	46	98	49	47	34	56	51	44	0	41	80	0	366	44	41	40
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia duriuscula	0	8	21	1	0	22	0	7	6	1	0	6	3	1	29	1	0	35	0	5	0	0	0	0	44	14	61	19	37	0	3	1	74	12	28	3	3	6	9	3	37	20	22	0	1	4	13	0	11	16	0	146	31	13	13
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	13	139	46	58	0	58	106	152	69	256	157	2	279	2	2125	107	13	91	152	67	52	0	0	2	120	856	45	36	81	37	28	41	151	740	133	245	254	169	319	13	460	55	189	207	402	150	145	0	170	191	0	270	34	34	19
Eukaryota;NA	12	149	68	40	0	65	20	135	91	19	19	17	71	14	67	27	2	150	17	62	11	0	0	0	164	159	96	40	162	7	70	41	260	141	163	131	83	135	146	22	330	59	189	31	39	34	166	0	149	1148	0	297	106	84	21
Eukaryota;Bacillariophyta;Bacillariophyceae	312	811	1037	319	0	315	369	981	192	43	87	46	785	2	390	107	8	329	99	94	56	4	0	4	471	1257	444	1094	1113	136	94	300	743	573	649	1107	230	541	1439	306	1191	478	721	91	59	224	333	0	628	4089	0	2731	685	730	484
Eukaryota;Ciliophora	38	279	305	33	0	161	36	171	437	25	46	32	147	2	89	24	4	378	64	168	140	4	0	0	480	430	181	98	414	15	97	49	598	487	548	105	229	188	120	12	1070	1031	418	64	652	64	315	0	469	509	0	970	231	144	51
Eukaryota;NA;Chrysophyceae	3	30	16	3	0	12	0	4	11	6	1	2	3	1	5	2	0	34	2	6	2	0	0	0	30	26	17	9	21	0	6	0	34	17	26	13	5	22	6	0	64	8	24	2	11	2	12	0	26	36	0	52	11	10	1
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	65	1080	599	163	0	805	71	494	543	374	236	35	548	1	234	195	18	717	201	320	112	2	0	1	1845	1189	479	203	885	207	201	3413	950	1416	706	600	360	794	744	227	3217	485	1373	268	439	152	626	0	1184	2178	0	3515	777	1050	446
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	251	304	464	32	0	164	3	109	150	11	3	124	326	1	0	32	2	258	3	149	0	2	0	1	412	67	673	844	829	1	151	52	1003	58	1257	69	2136	375	102	26	1108	764	254	5	1	4	456	0	169	1129	0	1909	497	182	194
Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum	7	120	39	15	0	46	8	35	117	50	14	12	23	1	17	17	3	139	18	52	11	0	0	0	148	189	48	44	96	4	50	10	158	145	138	37	30	100	60	2	272	51	150	23	58	20	109	0	151	147	0	131	75	56	12
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	9	99	58	2	0	53	2	7	89	12	3	8	6	1	784	4	0	133	5	35	4	0	0	0	142	33	50	28	80	0	288	2	156	53	121	13	6	78	12	1	271	53	169	6	15	3	98	0	150	120	0	233	82	42	23
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	28	1550	279	113	0	886	64	376	499	218	215	46	390	1	1580	158	13	1107	165	409	210	3	0	1	1040	987	363	109	860	44	324	44	1113	793	832	571	394	695	700	7	2530	1494	1316	305	344	132	820	0	1116	1150	0	1387	668	354	48
Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Roscoffia;Roscoffia capitata	3	122	16	2	0	52	0	15	53	6	6	6	11	1	4	2	1	106	2	43	3	0	0	0	139	23	47	13	95	1	59	2	108	21	148	16	16	49	22	0	169	37	78	5	16	5	56	0	97	70	0	44	54	32	5
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	1	0	58	0	36	0	0	38	0	0	86	10	0	0	0	0	1	0	2	0	0	0	13	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Paraliales;Paraliaceae;Paralia;Paralia sol	420	302	1231	237	0	298	348	103	541	11	123	139	685	1	965	346	1	297	394	339	29	2	0	15	258	110	1378	1721	685	25	83	453	3228	197	336	223	227	700	286	99	488	365	710	129	8	270	1560	0	732	2295	0	4138	320	798	469
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	828	2248	4119	12103	0	1960	124	27845	359	207	400	97	11762	1	3120	3976	19	541	340	77	438	125	0	9	4976	14263	1597	2787	1405	484	97	12635	1158	3770	626	29023	9131	786	34867	6614	5373	1857	3549	474	103	3293	613	0	1494	5234	0	5335	3543	6205	802
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	0	1	0	3	0	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	4	0	0	0	3	2	0	10	0	0	0	1	1	0	2	0	0	0	3	0	0	0	0	0
Eukaryota;Cercozoa	41	86	224	109	0	94	494	573	113	101	102	23	529	1	92	303	7	223	333	45	28	1	0	5	142	371	305	146	181	17	41	213	400	470	215	562	230	120	668	92	177	61	87	168	127	212	160	0	111	174	0	724	86	82	37
Eukaryota;Haptophyta;NA	6	59	29	5	0	64	2	20	57	30	10	6	17	1	8	7	1	78	13	28	5	0	0	0	98	75	39	20	63	2	26	7	120	89	81	30	20	36	21	0	249	27	140	9	40	8	84	0	91	105	0	143	68	47	11
Eukaryota;Annelida;Polychaeta;NA;Capitellidae;Capitella	0	0	0	0	0	0	2	2	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	8	0	19	2	3	3	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	15	148	101	32	0	87	26	167	165	113	33	25	209	1	64	346	5	285	52	88	28	1	0	2	286	300	171	63	164	21	78	758	398	456	225	224	87	161	268	8	599	81	321	71	106	38	188	0	210	283	0	740	156	97	44
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	7	118	48	13	0	81	38	73	24	16	22	1	37	1	155	43	1	15	13	5	43	1	0	0	138	196	3	39	44	229	19	123	34	48	20	86	24	66	97	15	113	117	80	22	10	11	35	0	101	125	0	226	54	44	26
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	5	26	64	19	0	15	0	29	7	2	7	0	37	1	12	8	0	19	2	2	2	0	0	0	32	32	35	28	51	5	1	18	23	1	26	52	20	26	56	98	51	573	34	17	3	26	10	0	19	30	0	129	35	28	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	94	809	323	140	0	166	297	462	211	86	55	15	225	1	82	63	2	344	104	91	44	2	0	3	1351	859	108	308	437	16	62	1853	276	386	242	505	186	441	656	35	898	209	696	103	114	124	230	0	749	3526	0	650	469	328	92
Eukaryota;Ciliophora;Spirotrichea;Tintinnida	20	1144	84	9	0	62	207	9	250	13	3	40	4	1	8	375	0	1124	2	262	3	1	0	1	261	72	125	29	1263	28	1311	2	1560	29	1348	8	1720	193	9	6	1313	238	406	9	7	6	261	0	290	120	0	1916	274	109	16
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Omegastrombidium;Omegastrombidium elegans	19	90	215	38	0	77	81	131	11	62	13	5	157	1	34	39	6	140	31	18	19	0	0	0	89	208	146	50	67	10	34	42	121	283	297	155	40	145	176	18	392	98	45	21	46	49	90	0	88	117	0	476	105	35	17
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	0	0	27	0	0	0	0	0	87	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	28	0	0	0	1	0	0	0	0	0	0	0	114	0	0	0	85	0	100	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;Biddulphia sp. CCMP147	686	945	4163	322	0	1494	1806	1189	632	798	2455	256	2630	4	4599	768	35	1219	1677	535	533	3	0	18	1288	3679	846	2474	2304	228	243	764	2816	2139	1441	2302	3972	1380	2836	415	3837	1392	2768	3968	758	5988	2381	0	1183	1921	0	9122	1004	1972	570
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	134	44	1302	231	0	50	27	147	27	16	25	111	322	0	41	66	1	78	55	18	2	4	0	0	141	112	238	505	159	4	13	88	1733	65	131	151	107	96	198	69	140	90	99	51	21	88	89	0	61	207	0	1984	52	250	110
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Idanthyrsus;Idanthyrsus australiensis	441	946	658	85	0	941	679	198	408	23	33	256	292	0	47	612	0	780	95	241	35	2	0	3	1164	883	957	1300	1764	169	105	1648	3927	163	1132	1234	2960	658	1570	111	1401	302	1957	39	168	136	805	0	796	4229	0	3241	1027	3164	647
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	42	26	419	124	0	195	120	502	128	73	33	30	656	0	18	337	22	490	68	10	4	4	0	0	697	753	1331	112	550	37	5	88	432	1732	680	571	35	22	783	19	114	453	427	40	91	51	155	0	195	58	0	2247	288	5215	71
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	147	10	42	917	0	324	386	6	2	2	0	0	374	0	2	5	0	16	759	0	0	0	0	10	16	11	532	536	36	0	3	513	12	6	24	2	1	9	4	37	31	4	11	3	4	145	368	0	24	11	0	3196	23	41	229
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	625	262	63	0	0	14	3	3	57	0	0	360	9	0	0	3	0	37	0	10	0	2	0	0	17	13	176	2045	105	0	76	550	6825	19	96	6	2443	55	9	0	349	8	213	0	3	2	89	0	79	131	0	307	132	359	1066
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	664	22	63	1	0	6	0	1	38	0	0	279	5	0	1	120	0	1	11	35	0	0	0	0	1	2	110	2387	27	2	6	0	3927	4	51	4	1	231	3	0	206	1	45	0	1	0	56	0	56	954	0	523	30	83	732
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Eusirus;Eusirus perdentatus	802	1	1110	0	0	11	0	2	1	2	1	1	16	0	1	0	0	0	2	0	0	0	0	0	0	0	4	3266	27	3	0	1	3	4	34	0	1	34	2	0	9	2	5	0	0	0	0	0	18	1357	0	49700	10	9	137
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	330	5	21	41	0	2	0	0	3	0	0	4	1	0	0	0	0	15	0	1	0	0	0	0	25	0	40	1331	38	0	0	0	54	1	48	2	0	1	1	0	2	5	9	0	0	0	7	0	5	5	0	120	2	5	5
Eukaryota;Xenacoelomorpha;NA;Acoela;Convolutidae;Aphanastoma;Aphanastoma virescens	6	4	35	21	0	10	2	54	0	0	1	1	84	0	3	59	1	6	2	0	1	0	0	3	19	99	28	20	90	0	1	2083	45	133	149	70	5	2	101	4	5	1	2	0	2	2	3	0	0	6	0	154	6	9	2
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	2	2	17	2	0	9	2	16	0	2	1	2	2	0	3	6	0	7	3	4	0	0	0	0	25	5	13	17	17	0	1	3	33	7	23	11	2	3	18	39	2	9	7	0	0	1	9	0	7	14	0	82	16	16	7
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana	24	87	276	18	0	57	1	64	9	8	5	17	105	0	3	21	4	115	8	17	7	0	0	2	130	132	59	76	527	2	9	41	365	259	708	76	6	34	99	15	90	57	37	9	17	7	27	0	24	38	0	1486	59	25	38
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	22	126	79	1	0	70	172	92	20	87	26	13	51	0	34	7	3	207	24	52	14	0	0	0	1101	308	29	86	194	11	53	8	298	196	252	100	67	122	149	1	468	71	82	41	92	27	28	0	31	230	0	284	34	37	38
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	380	2834	1475	580	1	2081	475	1995	593	381	482	45	997	0	3948	1232	16	584	462	256	918	15	0	3	3771	5049	231	1426	1896	642	657	2433	1004	1321	511	2551	724	1723	2982	434	3668	2890	2240	726	500	514	909	0	2750	3124	0	5938	1491	1128	763
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	488	114	53	32	0	38	35	197	40	33	17	624	111	0	1541	25	6	77	50	25	3	1	0	1	148	267	126	1696	98	7	13	121	11546	281	121	160	128	39	211	7	165	43	120	27	40	28	75	0	55	149	0	429	100	85	970
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria alveolata	43	73	54	8	0	67	54	15	23	1	1	25	33	0	2	64	0	47	6	16	2	1	0	0	82	67	71	130	137	13	9	129	383	16	72	80	275	45	141	11	123	33	153	1	14	16	56	0	51	309	0	262	86	233	41
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	2	0	1	3	0	1	0	2	0	0	0	0	0	0	17	0	0	0	1	0
Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	13	172	88	22	0	156	15	118	143	51	30	8	71	0	52	16	3	163	26	61	210	0	0	0	212	168	62	52	139	9	37	9	225	161	145	115	49	154	169	487	552	88	275	43	62	19	159	0	250	280	0	555	132	81	29
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	22	184	155	28	0	66	33	118	90	78	28	9	223	0	35	122	7	102	117	71	20	0	0	1	325	162	233	93	219	22	47	171	277	360	94	129	34	170	204	6	393	88	169	40	184	24	143	0	187	451	0	1012	135	65	32
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis pseudojaponica	73	217	363	325	0	81	11	1544	24	30	81	7	665	0	104	50	2	43	51	11	34	3	0	1	100	2113	71	294	334	53	29	500	151	331	71	1708	256	118	2006	202	391	96	164	106	60	180	56	0	146	244	0	925	295	280	19
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	1	5	8	4	0	1	3	6	15	2	2	0	25	0	5	6	0	3	14	0	1	0	0	0	8	15	5	5	23	0	1	11	24	15	10	15	4	2	22	1	9	1	10	0	4	1	8	0	7	2	0	42	4	3	1
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. LuSi-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	69	22	835	194	0	21	16	435	5	9	16	13	266	0	40	57	1	15	27	4	4	3	0	1	35	448	36	191	71	5	6	296	202	320	64	456	68	4	530	121	53	12	20	21	17	81	17	0	62	57	0	4554	48	53	42
Eukaryota;Bacillariophyta;Bacillariophyceae;Mastogloiales;Achnanthaceae;Achnanthes	5	72	126	91	0	72	4	203	48	4	11	4	39	0	31	15	0	111	10	28	1	3	0	0	151	87	194	34	156	14	16	111	32	17	92	188	114	93	242	81	205	91	189	13	3	128	71	0	95	211	0	465	214	54	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii	2	4	6	9	0	17	1	19	5	8	9	0	40	0	4	8	0	17	5	3	2	0	0	0	8	42	3	4	5	1	3	2	17	17	6	11	14	34	15	0	29	1	13	16	15	5	17	0	11	19	0	20	9	12	2
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	6	84	82	24	0	17	1	105	10	7	4	3	24	0	6	2	0	21	11	4	0	0	0	0	41	130	52	28	57	2	19	31	57	61	19	94	14	21	119	16	1050	26	51	4	8	329	19	0	32	103	0	335	88	13	4
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	181	60	79	27	0	71	38	170	10	20	40	15	103	0	50	54	0	129	14	5	11	0	0	0	345	181	95	410	115	10	22	97	278	76	61	114	48	33	188	28	96	64	50	11	22	35	30	0	53	116	0	278	47	247	69
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	33	544	138	33	0	230	6	122	227	120	18	20	36	0	1725	16	3	282	23	147	110	0	0	0	1155	258	56	143	679	36	197	1053	343	112	295	121	53	188	135	4	466	105	458	43	86	43	274	0	545	461	0	262	314	76	43
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	53	529	117	186	0	85	7	391	81	62	19	18	22	0	733	304	0	49	12	30	362	4	0	0	566	1190	38	171	278	99	35	125	103	173	117	269	120	73	346	770	426	931	487	28	57	141	187	0	427	502	0	184	353	234	11
Eukaryota;Euglenozoa;Kinetoplastea	7	5	31	6	0	11	6	42	1	10	9	3	58	0	39	8	0	17	21	5	0	0	0	0	20	31	50	10	21	0	2	6	41	46	20	45	19	14	53	0	32	19	15	8	11	9	9	0	12	13	0	86	12	11	11
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema ambulator	8	0	37	3	0	1	1	9	0	1	2	6	6	0	7	4	0	2	8	1	0	0	0	0	4	9	7	14	1	3	0	8	25	5	2	7	9	1	7	0	0	1	2	2	2	14	0	0	2	2	0	16	2	0	4
Eukaryota;NA;Phaeophyceae;Laminariales	91	224	549	228	0	544	18	756	83	38	48	16	141	0	95	57	2	876	71	55	12	9	0	1	1363	429	470	300	662	21	36	261	422	164	549	478	255	189	612	135	546	549	382	50	32	178	172	0	249	641	0	1958	298	749	65
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;NA;Cletodidae sp. DZMB535	32	0	2	0	0	0	0	0	1	0	24	0	1838	0	33	0	0	0	0	0	0	1	0	0	2	0	7	127	1	2	0	41	19	0	151	0	449	62	0	84	0	10	0	0	0	510	0	0	0	1	0	894	0	0	0
Eukaryota;Arthropoda;Malacostraca	52	0	79	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	1	0	217	2	2	0	0	2	1	1	2	0	0	0	0	1	0	0	0	2	0	0	0	1	70	0	3271	0	2	10
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Lecudina;Lecudina polymorpha	5	0	0	52	0	0	0	175	3	0	11	0	8	0	11	4	0	0	5	0	1	0	0	0	0	171	0	18	0	3	0	136	1	46	0	276	26	9	306	92	0	0	0	3	2	26	0	0	0	11	0	0	7	25	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	1	0	0	0	0	1	1	17	0	3	5	0	25	0	0	4	0	0	8	0	0	0	0	0	0	3	0	0	2	0	0	0	0	19	0	15	1	1	28	0	0	0	1	3	40	5	1	0	0	0	0	6	0	0	3
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	9	8	51	42	0	33	6	85	1	13	21	6	137	0	31	16	2	8	18	0	2	1	0	0	3	44	33	35	7	6	4	67	62	51	5	130	46	12	177	21	85	8	18	22	58	37	4	0	6	11	0	967	19	5	2
Eukaryota;Chlorophyta	32	27	35	6	0	10	1	15	10	3	2	19	3	0	3	1	0	38	6	6	0	0	0	0	36	16	44	88	44	2	3	6	323	17	36	22	14	12	23	8	63	7	30	3	7	6	18	0	21	27	0	192	37	41	62
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis rangiferina	14	14	49	3	0	31	0	15	25	8	1	13	6	0	0	3	0	82	0	9	1	0	0	0	122	20	99	35	48	0	6	3	154	19	131	7	3	29	15	1	60	31	51	3	7	3	36	0	29	30	0	150	17	55	28
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	20	27	44	98	0	9	14	370	9	18	13	11	116	0	30	38	3	29	25	2	3	0	0	1	24	202	93	59	31	9	5	118	184	119	24	271	63	10	323	52	44	14	36	19	36	69	26	0	37	41	0	168	43	97	26
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	26	25	27	45	0	13	0	131	3	15	5	21	46	0	12	22	1	23	23	2	2	0	0	0	22	120	34	110	27	7	2	36	373	68	26	88	25	8	129	17	28	4	12	5	14	32	14	0	22	22	0	152	15	56	46
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. PBS05	5	1	3	2	0	0	1	27	1	1	3	0	6	0	1	2	0	3	2	0	0	0	0	0	1	17	4	9	2	0	0	9	6	14	2	13	2	4	22	3	3	2	2	2	2	5	1	0	2	2	0	11	1	2	0
